  No    Ref    V       B-V     U-B
 1250   558  18.478   0.800   0.292
 1251   558  16.598   0.709   0.164
 1252   558  18.975   0.839   0.420
 1253   558  18.657   0.730   0.071
 1254   558  16.148   0.879   0.510
 1255   558  17.791   1.143   1.012
 1256   558  18.717   0.651  -0.222
 1257   558  18.945   0.656  -0.106
 1258   558  15.645   0.786   0.225
 1259   558  18.571   0.987   0.824
 1260   558  17.773   0.868   0.373
 1261   558  18.846   0.583   0.015
 1262   558  19.520   0.839   0.048
 1263   558  18.443   0.843   0.210
 1264   558  16.429   0.587  -0.049
 1265   558  17.948   0.882   0.344
 1266   558  18.273   0.843   0.139
 1267   558  17.399   0.550  -0.082
 1268   558  15.465   0.844   0.452
 1269   558  18.517   0.734  -0.060
 1270   558  16.759   0.784   0.276
 1271   558  18.840   0.670  -0.109
 1272   558  16.447   0.713   0.192
 1273   558  17.305   0.899   0.607
 1274   558  17.174   0.715  -0.007
 1275   558  17.368   0.780   0.180
 1276   558  16.352   1.038   0.848
 1277   558  18.216   0.779   0.178
 1278   558  15.793   0.914   0.614
 1279   558  17.390   0.767   0.077
 1280   558  18.661   0.814   0.331
 1281   558  16.919   0.989   0.734
 1282   558  18.796   0.672   0.047
 1283   558  16.542   0.970   0.699
 1284   558  16.239   0.712   0.130
 1285   558  16.025   0.681   0.186
 1286   558  16.405   0.808   0.312
 1287   558  18.365   0.786   0.022
 1288   558  18.987   0.770  -0.237
 1289   558  15.594   0.640   0.067
 1290   558  16.635   0.671   0.249
 1291   558  19.711   0.677  -0.114
 1292   558  15.927   1.144   1.113
 1293   558  17.273   0.740   0.243
 1294   558  15.885   0.784   0.398
 1295   558  18.461   0.819   0.459
 1296   558  19.312   0.687  -0.180
 1297   558  17.666   1.100   0.922
 1298   558  16.779   0.988   0.748
 1299   558  17.997   0.976   0.676
 1300   558  18.695   0.636  -0.058
 1301   558  18.320   0.764   0.182
 1302   558  15.272   0.675   0.108
 1303   558  17.787   0.809   0.345
 1304   558  16.232   0.658   0.112
 1305   558  15.935   0.738   0.212
 1306   558  16.387   0.829   0.443
 1307   558  17.175   1.204   1.244
 1308   558  18.575   0.758   0.215
 1309   558  17.268   0.765   0.291
 1310   558  17.144   0.943   0.667
 1311   558  18.431   0.840   0.509
 1312   558  17.736   0.819   0.316
 1313   558  17.812   0.690   0.076
 1314   558  18.147   0.753   0.299
 1315   558  16.106   1.005   0.778
 1316   558  16.607   0.707   0.189
 1317   558  17.246   0.961   0.757
 1318   558  19.946   0.719   0.270
 1319   558  18.433   0.852   0.386
 1320   558  17.152   1.063   0.930
 1321   558  18.153   0.731   0.261
 1322   558  17.587   1.117   0.995
 1323   558  16.612   0.972   0.632
